tool,label,precision,recall,f1,support
flawfinder,CWE-416,0.0,0.0,0.0,4
flawfinder,CWE-457,0.0,0.0,0.0,1
flawfinder,CWE-476,0.0,0.0,0.0,72
flawfinder,CWE-590,0.0,0.0,0.0,1
flawfinder,CWE-617,0.0,0.0,0.0,2
flawfinder,CWE-674,0.0,0.0,0.0,1
flawfinder,CWE-676,0.0,0.0,0.0,0
flawfinder,CWE-681,0.0,0.0,0.0,2
flawfinder,CWE-754,0.0,0.0,0.0,1
flawfinder,CWE-755,0.0,0.0,0.0,1
flawfinder,CWE-758,0.0,0.0,0.0,2
flawfinder,CWE-761,0.0,0.0,0.0,1
flawfinder,CWE-772,0.0,0.0,0.0,1
flawfinder,CWE-779,0.0,0.0,0.0,2
flawfinder,CWE-787,0.0,0.0,0.0,6
flawfinder,NO_CWE,0.573333,0.928058,0.708791,139
rats,CWE-119,0.0,0.0,0.0,1
rats,CWE-120,0.0,0.0,0.0,1
rats,CWE-121,0.0,0.0,0.0,3
rats,CWE-125,0.0,0.0,0.0,14
rats,CWE-131,0.0,0.0,0.0,1
rats,CWE-134,0.0,0.0,0.0,1
rats,CWE-190,0.0,0.0,0.0,4
rats,CWE-200,0.0,0.0,0.0,1
rats,CWE-201,0.0,0.0,0.0,1
rats,CWE-248,0.0,0.0,0.0,1
rats,CWE-252,0.0,0.0,0.0,1
rats,CWE-366,0.0,0.0,0.0,1
rats,CWE-416,0.0,0.0,0.0,4
rats,CWE-457,0.0,0.0,0.0,1
rats,CWE-476,0.0,0.0,0.0,72
rats,CWE-590,0.0,0.0,0.0,1
rats,CWE-617,0.0,0.0,0.0,2
rats,CWE-674,0.0,0.0,0.0,1
rats,CWE-681,0.0,0.0,0.0,2
rats,CWE-754,0.0,0.0,0.0,1
rats,CWE-755,0.0,0.0,0.0,1
rats,CWE-758,0.0,0.0,0.0,2
rats,CWE-761,0.0,0.0,0.0,1
rats,CWE-772,0.0,0.0,0.0,1
rats,CWE-779,0.0,0.0,0.0,2
rats,CWE-787,0.0,0.0,0.0,6
rats,NO_CWE,0.522556,1.0,0.68642,139
sast_any,CWE-119,0.0,0.0,0.0,1
sast_any,CWE-120,0.0,0.0,0.0,1
sast_any,CWE-121,0.0,0.0,0.0,3
sast_any,CWE-125,0.0,0.0,0.0,14
sast_any,CWE-126,0.0,0.0,0.0,0
sast_any,CWE-131,0.0,0.0,0.0,1
sast_any,CWE-134,0.0,0.0,0.0,1
sast_any,CWE-190,0.0,0.0,0.0,4
sast_any,CWE-200,0.0,0.0,0.0,1
sast_any,CWE-201,0.0,0.0,0.0,1
sast_any,CWE-248,0.0,0.0,0.0,1
sast_any,CWE-252,0.0,0.0,0.0,1
sast_any,CWE-366,0.0,0.0,0.0,1
sast_any,CWE-398,0.0,0.0,0.0,0
sast_any,CWE-416,0.0,0.0,0.0,4
sast_any,CWE-457,0.0,0.0,0.0,1
sast_any,CWE-476,0.0,0.0,0.0,72
sast_any,CWE-563,0.0,0.0,0.0,0
sast_any,CWE-570,0.0,0.0,0.0,0
sast_any,CWE-590,0.0,0.0,0.0,1
sast_any,CWE-617,0.0,0.0,0.0,2
sast_any,CWE-674,0.0,0.0,0.0,1
sast_any,CWE-676,0.0,0.0,0.0,0
sast_any,CWE-681,0.0,0.0,0.0,2
sast_any,CWE-754,0.0,0.0,0.0,1
sast_any,CWE-755,0.0,0.0,0.0,1
sast_any,CWE-758,0.0,0.0,0.0,2
sast_any,CWE-761,0.0,0.0,0.0,1
sast_any,CWE-772,0.0,0.0,0.0,1
sast_any,CWE-779,0.0,0.0,0.0,2
sast_any,CWE-787,0.0,0.0,0.0,6
sast_any,NO_CWE,0.632432,0.841727,0.722222,139
